link,post_type,num_of_comments,content_link,text,views,likes,date
https://www.instagram.com/p/CUlJKmYBjwa/,Video,18.2k,https://instagram.fala7-1.fna.fbcdn.net/v/t50.16885-16/10000000_261787092374728_212357760634536532_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5pZ3R2LmJhc2VsaW5lIiwicWVfZ3JvdXBzIjoiW1wiaWdfd2ViX2RlbGl2ZXJ5X3Z0c19vdGZcIl0ifQ&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=mAfsqT7XmlYAX9352fh&edm=AABBvjUBAAAA&vs=167238768900154_3192284352&_nc_vs=HBksFQAYJEdJQ1dtQURJMUtVT0dPNEFBRlJDNnhkQ2N2SUNidlZCQUFBRhUAAsgBABUAGCRHSld0aUE2YnVOXy1OdEFBQUxwdGM1R0hPZ1pKYnZWQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACb0h6XTg%2BPWPxUCKAJDMywXQEMAAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdewHAA%3D%3D&ccb=7-4&oe=627D1602&oh=00_AT84aViJGswzjmCzl2JUZIEXagwdk3nJ9Y0SbNBJ2w9nAg&_nc_sid=83d603,Sailing with Priscilla and friends. Shot on 😎,"3,543,361 views","285,574 likes",2021-10-03T20:45:55.000Z
https://www.instagram.com/p/CUBVheLMULt/,Video,"4,388",https://instagram.fala7-1.fna.fbcdn.net/v/t50.16885-16/10000000_685846286140634_2084322910355371340_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5pZ3R2LmJhc2VsaW5lIiwicWVfZ3JvdXBzIjoiW1wiaWdfd2ViX2RlbGl2ZXJ5X3Z0c19vdGZcIl0ifQ&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=MXedGLNruNkAX-Nz6bv&edm=AABBvjUBAAAA&vs=1331468847255814_1578107361&_nc_vs=HBksFQAYJEdJQ1dtQURhaEVFSXhtOENBRXkxOE15a0FPMGNidlZCQUFBRhUAAsgBABUAGCRHRWxpY2c0YXNlX0FibVlCQU1XWUpGdl95ZHc0YnZWQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbkl%2Bq8n5bNPxUCKAJDMywXQFqVT987ZFoYEmRhc2hfYmFzZWxpbmVfMV92MREAdewHAA%3D%3D&ccb=7-4&oe=627CBBA0&oh=00_AT_Ad04exDz25QfMLFo1GRe9Sjk3vnUFILmVPRjkEhoZBg&_nc_sid=83d603,Fencing with Olympic gold medalist @leetothekiefer and world champion @gerekmeinhardt. Shot on my Ray-Bans 😎,"2,871,727 views","127,196 likes",2021-09-19T23:02:08.000Z
https://www.instagram.com/p/CTm6iKepk3w/,Video,"4,862",https://instagram.fala7-1.fna.fbcdn.net/v/t50.16885-16/10000000_4087835501328827_6361380369104244099_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjEyODAuaWd0di5kZWZhdWx0IiwicWVfZ3JvdXBzIjoiW1wiaWdfd2ViX2RlbGl2ZXJ5X3Z0c19vdGZcIl0ifQ&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=hboEEAV35WcAX8lT664&edm=AABBvjUBAAAA&vs=17907838460005954_228706269&_nc_vs=HBksFQAYJEdJQ1dtQUM3X2ZSZTNZVU9BSU1ObXQyOUtVaFlidlZCQUFBRhUAAsgBABUAGCRHTndLWlE2LXBsbU1Eb0lCQU5DaWFOb2NUZlliYnZWQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbSmYKhzZLMPxUCKAJDMywXQIEEhysCDEoYEmRhc2hfYmFzZWxpbmVfMV92MREAdewHAA%3D%3D&ccb=7-4&oe=627CDCAB&oh=00_AT8lrg8r7D6IfqbUrehgA5pojAIsUD_RVEF0QzhLG7mSpQ&_nc_sid=83d603,"Introducing Ray-Ban Stories

Introducing Ray-Ban Stories. Smart glasses that let you capture photos and videos, share them with friends, listen to music and podcasts, or take phone calls -- all while staying in the moment. Starting at $299 and available now @rayban","2,100,997 views","109,343 likes",2021-09-09T16:46:13.000Z
https://www.instagram.com/p/CTkWv9lH-Vv/,Video,"3,238",https://instagram.fala7-1.fna.fbcdn.net/v/t50.16885-16/241325559_552241936028125_3571805612962868393_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5pZ3R2LmRlZmF1bHQiLCJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSJ9&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=CsVRg-nYamUAX-dun_8&tn=8AP5OzskOSPvc5ce&edm=AABBvjUBAAAA&vs=17888188325325434_3428578627&_nc_vs=HBksFQAYJEdQZFZZZzdkVVczWVF2WUJBS25zWmQ5SG1wRXhidlZCQUFBRhUAAsgBABUAGCRHS3FMWnc3NHhYUWM2eGNDQU5PaU9MOFpqd05YYnZWQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACayqfK23JXCPxUCKAJDMywXQDZEGJN0vGoYEmRhc2hfYmFzZWxpbmVfMl92MREAdewHAA%3D%3D&ccb=7-4&oe=627CCC5F&oh=00_AT9nH4E7HzMg3QT3dr4p7009MB5zUoqhAyBNIY8Q7nWBSA&_nc_sid=83d603,😎 Looking forward to sharing what we've been working on with Ray-Ban tomorrow.,"2,327,345 views","147,028 likes",2021-09-08T16:53:36.000Z
https://www.instagram.com/p/CThzhsCHdsm/,Video,"3,154",https://instagram.fala7-1.fna.fbcdn.net/v/t50.16885-16/241574588_3091078841128514_297876191997920653_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5pZ3R2LmRlZmF1bHQiLCJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSJ9&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=vCmctcUiPskAX8jS8sX&edm=AABBvjUBAAAA&vs=17941678891573541_2173447177&_nc_vs=HBksFQAYJEdMd2laZzVDVmt6Z1Vmc0tBSTBGRllQUlJDSUVidlZCQUFBRhUAAsgBABUAGCRHSWhtWlE0Q2JDcDhDRkVCQUdCMkNkbl9vNG9uYnZWQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaS%2F5jxgbPSPxUCKAJDMywXQDFMzMzMzM0YEmRhc2hfYmFzZWxpbmVfMV92MREAdewHAA%3D%3D&ccb=7-4&oe=627D113C&oh=00_AT-oUEwLPobNQpZN8jBNFU1MsL5kPKjzrco_uxErSxc0nQ&_nc_sid=83d603,😎,"2,188,394 views","162,568 likes",2021-09-07T17:07:23.000Z
https://www.instagram.com/p/CThtJYwHRWx/,Video,"3,553",https://instagram.fala7-1.fna.fbcdn.net/v/t50.16885-16/10000000_276827753971213_2943619802502782046_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5pZ3R2LmRlZmF1bHQiLCJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSJ9&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=Wm-j6xWzcpYAX9udHB9&edm=AABBvjUBAAAA&vs=17946366790550606_1075519807&_nc_vs=HBksFQAYJEdJQ1dtQUFOZnZEN3hmc0FBRjdjXzBtZDF0a29idlZCQUFBRhUAAsgBABUAGCRHSi1rWUE2Qlc5LWxRanNCQUZxNFJYVDlqRWhVYnZWQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbskYvZhI%2FLPxUCKAJDMywXQEeu2RaHKwIYEmRhc2hfYmFzZWxpbmVfMV92MREAdewHAA%3D%3D&ccb=7-4&oe=627D147C&oh=00_AT_x6T3EfQ4LNxXAcu8i930EZIauKPYe_amMfD_QHwDvuQ&_nc_sid=83d603,"😎 on a windless, swell-less day.","2,025,299 views","191,110 likes",2021-09-07T16:11:41.000Z
https://www.instagram.com/p/CSIlCoolUnV/,Photo,10.3k,https://instagram.fala7-1.fna.fbcdn.net/v/t51.2885-15/229625084_1430932210625392_6958458071008882642_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=MyKhrUMjd9wAX_-xk8a&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjYzMjUxNjg5MDk4ODQ2NDU5Nw%3D%3D.2-ccb7-4&oh=00_AT_YejoZhpqPOylUjmZxPDG_YnkjNRZ8uUJP2j7_9ik51g&oe=62823416&_nc_sid=83d603,"I haven't fenced in a long time, but watching Lee Kiefer at the Olympics inspired me to start teaching Max. She loves it.",,329329,2021-08-04T01:28:10.000Z
https://www.instagram.com/p/CRhxVbjHo3C/,Video,"5,403",https://instagram.fala7-1.fna.fbcdn.net/v/t50.16885-16/219652805_1452733971749523_3512139292586021380_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5pZ3R2LmRlZmF1bHQiLCJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSJ9&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=rJGo_FpBf2cAX9EV0NA&edm=AABBvjUBAAAA&vs=17961500170448695_177145310&_nc_vs=HBksFQAYJEdNV2lGdzJUMmxiOFFDa0ZBQVFTU0JnVW9MMHdidlZCQUFBRhUAAsgBABUAGCRHUFJhSlEyUkhQVFloUjBFQUJRaGxTR2F0X01RYnZWQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaK7NLp9ZnoQBUCKAJDMywXQDxu2RaHKwIYEmRhc2hfYmFzZWxpbmVfMV92MREAdewHAA%3D%3D&ccb=7-4&oe=627D21C0&oh=00_AT-yRt89iFgfUWUA9ue3MZ1Y7sST0sXw8YyGPsqkZwqvpQ&_nc_sid=83d603,"Priscilla, Naomi (@naomsg) and I made this video to celebrate launching Joinable Group Calls on WhatsApp. Today is also Naomi's 16th anniversary of working at Facebook and she's the best, so I'm posting this to celebrate her too!","3,281,605 views","146,897 likes",2021-07-19T23:45:22.000Z
https://www.instagram.com/p/CQ6u_nFnGmR/,Video,21.3k,https://instagram.fala7-1.fna.fbcdn.net/v/t50.16885-16/10000000_325971325694026_1406634926480861317_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5pZ3R2LmRlZmF1bHQiLCJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSJ9&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=KXJ3Z56ruHgAX9t9BQ-&tn=8AP5OzskOSPvc5ce&edm=AABBvjUBAAAA&vs=17877147323342013_4283016362&_nc_vs=HBksFQAYJEdJQ1dtQUJLTUJNZGVDZ0JBSVdvakZFRFg0VVRidlZCQUFBRhUAAsgBABUAGCRHRVpOcVF3RFlQRjQ3WmNBQUFUUFVNQjRFWXBOYnZWQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACa6hK2T7IHXPxUCKAJDMywXQFG90vGp%2B%2BcYEmRhc2hfYmFzZWxpbmVfMV92MREAdewHAA%3D%3D&ccb=7-4&oe=627D0642&oh=00_AT_i7ccbaMuud-Fg5MFguZKkifSjCed0Ax07Ov32HC7n7w&_nc_sid=83d603,Happy July 4th! 🇺🇲,"5,593,211 views","522,155 likes",2021-07-04T19:54:40.000Z
https://www.instagram.com/p/CQhX18BHnm6/,Video,"4,766",https://instagram.fala7-1.fna.fbcdn.net/v/t50.16885-16/207761292_208333167826854_1459569527544444646_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5pZ3R2LmRlZmF1bHQiLCJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSJ9&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=hllithiKbawAX-1dWqL&edm=AABBvjUBAAAA&vs=17995209694354984_3999074557&_nc_vs=HBksFQAYJEdJd3ZZZ3ltbDNaWWVyMEFBT1oyUlk3QWJrRVVidlZCQUFBRhUAAsgBABUAGCRHR2ZQV1F3RzhXdDU2dW9CQUZGaks2S0xRNWNmYnZWQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaA2duf4ZvMPxUCKAJDMywXQCUzMzMzMzMYEmRhc2hfYmFzZWxpbmVfMV92MREAdewHAA%3D%3D&ccb=7-4&oe=627CC44C&oh=00_AT8CriJkg40xuC-sZF3nwG49MiAXCcqV2_chYFkgRKlY_Q&_nc_sid=83d603,Foil jousting needs to be a thing.,"3,129,679 views","229,247 likes",2021-06-24T23:31:15.000Z
https://www.instagram.com/p/CQeKRFsrAh1/,Photo,"4,057",https://instagram.fala7-1.fna.fbcdn.net/v/t51.2885-15/205034558_1218902991890062_2545770599473198980_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=gJt2Vtiq79gAX-FmXL2&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjYwMjU2Mjc4OTQ4MTEyMTkwOQ%3D%3D.2-ccb7-4&oh=00_AT_NABGvfJ8GyR8a8XLXGGxDBz1CGNw_lqHQoqsUJik95w&oe=6281B251&_nc_sid=83d603,Thanks @adam.the.creator for designing my next board. The sun never stood a chance.,,194354,2021-06-23T17:34:42.000Z
https://www.instagram.com/p/CPyVMNKH4qa/,Video,"9,066",https://instagram.fala7-1.fna.fbcdn.net/v/t50.16885-16/198215628_2987110441509367_4841902597162061927_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjEyODAuaWd0di5kZWZhdWx0IiwicWVfZ3JvdXBzIjoiW1wiaWdfd2ViX2RlbGl2ZXJ5X3Z0c19vdGZcIl0ifQ&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=yXcoOFQ1pscAX9ckdUe&edm=AABBvjUBAAAA&vs=17934861517546876_407172440&_nc_vs=HBksFQAYJEdNeUgwQXYzWWNYWXdwd0tBR2ZRNGpUQzVERkRidlZCQUFBRhUAAsgBABUAGCRHSDB5d1F0VGFDVGQwTFlCQUVJQ2tXLVhISkJmYnZWQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACa8062vl8rIPxUCKAJDMywXQERVP3ztkWgYEmRhc2hfYmFzZWxpbmVfM192MREAdewHAA%3D%3D&ccb=7-4&oe=627D2487&oh=00_AT8QGB6ZiDLIwKsszObUN2uQXSqTRtav-SgDoufZKHQ1fw&_nc_sid=83d603,"If I were an Avenger, pretty sure I'd be Hawkeye.","2,368,206 views","160,339 likes",2021-06-06T17:04:18.000Z
https://www.instagram.com/p/CPRWje9hwb4/,Video,"7,842",https://instagram.fala7-1.fna.fbcdn.net/v/t50.16885-16/10000000_322713422566264_2377918580010611140_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5pZ3R2LmRlZmF1bHQiLCJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSJ9&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=O6aINFwbVjIAX8YxWK3&edm=AABBvjUBAAAA&vs=17886633206198628_3292518754&_nc_vs=HBksFQAYJEdJQ1dtQUI0a19xU2dTVUJBTVJ4VllwWkVBQWhidlZCQUFBRhUAAsgBABUAGCRHS3lsYUFzZ04ydkV4ajBLQUVDakZUaU5uOXBsYnZWQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbug7z%2B7svhQBUCKAJDMywXQGgjMzMzMzMYEmRhc2hfYmFzZWxpbmVfMV92MREAdewHAA%3D%3D&ccb=7-4&oe=627D004B&oh=00_AT9pTgB2D_76Bt37VVHz0oYablMP49-bnSYsb3XhgXbJ-A&_nc_sid=83d603,Max is skeptical this is actually my job.,"2,802,724 views","184,347 likes",2021-05-24T21:41:20.000Z
https://www.instagram.com/p/CPHiJcGLExg/,Carousel,"5,483",https://instagram.fala7-1.fna.fbcdn.net/v/t51.2885-15/188084520_625167462215725_451963563410871878_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=h6f9qZengf0AX_j7bT5&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjU3ODE3OTQ5MDY4MDA2OTE1Nw%3D%3D.2-ccb7-4&oh=00_AT9iB6PBBnHOsEhMYCmhdgDxjqZdezDZZ3-_x2Iwn-fQmQ&oe=6281D97B&_nc_sid=83d603,Grateful to be able to personally contribute to Kauai's vaccination efforts today. Priscilla gave almost 100 shots and I helped families get set up at the clinic. Thanks to all the doctors and nurses who do this every day!,,318750,2021-05-21T02:09:27.000Z
